NIKE INC,FOOTWEAR DESIGNER I,"60,000","BEAVERTON, OR",03/03/2016,08/24/2016,CERTIFIED
NIKE INC,FOOTWEAR DESIGNER I,"65,000","BEAVERTON, OR",01/22/2014,04/01/2014,CERTIFIED
NIKE INC,FOOTWEAR DESIGNER I,"70,000","BEAVERTON, OR",07/06/2015,07/15/2015,CERTIFIED
NIKE INC,FOOTWEAR DESIGNER I - INNOVATION,"70,000","BEAVERTON, OR",02/25/2015,03/02/2015,CERTIFIED
NIKE INC,FOOTWEAR DESIGNER I - INNOVATION,"72,460","BEAVERTON, OR",07/22/2016,09/26/2016,CERTIFIED
NIKE INC,"FOOTWEAR DESIGNER I, YOUNG ATHLETES","61,810","BEAVERTON, OR",04/20/2017,05/03/2017,CERTIFIED
NIKE INC,FOOTWEAR DESIGNER II,"75,000","BEAVERTON, OR",07/06/2015,09/30/2015,CERTIFIED
NIKE INC,FOOTWEAR DESIGNER II,"84,885","BEAVERTON, OR",02/17/2017,03/05/2017,CERTIFIED
NIKE INC,FOOTWEAR DESIGNER II,"86,055","BEAVERTON, OR",03/16/2017,09/13/2017,CERTIFIED
NIKE INC,FOOTWEAR DESIGNER II,"106,000","BEAVERTON, OR",03/31/2015,04/13/2015,CERTIFIED
NIKE INC,"FOOTWEAR DESIGNER II, GLOBAL NIKE SKATEBOARDING","99,944","BEAVERTON, OR",02/28/2014,08/25/2014,CERTIFIED
NIKE INC,FOOTWEAR DEVELOPER II,"80,615","BEAVERTON, OR",03/09/2015,09/05/2015,CERTIFIED
NIKE INC,FOOTWEAR INNOVATION DESIGNER I,"70,000","BEAVERTON, OR",03/14/2016,08/31/2016,CERTIFIED
NIKE INC,FOOTWEAR MATERIAL DEVELOPER II,"85,000","BEAVERTON, OR",05/06/2016,05/30/2016,CERTIFIED
NIKE INC,FOOTWEAR PRODUCT OPS ENGINEER,"95,000","BEAVERTON, OR",06/21/2016,07/01/2016,CERTIFIED
NIKE INC,"GENERAL MANAGER,MOBILIZE-SUSTAINABLE BUSINESS AND","350,000","BEAVERTON, OR",11/12/2013,02/01/2014,CERTIFIED
NIKE INC,GLOBAL ACCOUNTING OPERATIONS MANAGER,"100,000","BEAVERTON, OR",10/26/2017,11/07/2017,CERTIFIED
NIKE INC,"GLOBAL BRAND MANAGER, NIKE TRAINING","105,000","BEAVERTON, OR",04/03/2015,04/20/2015,CERTIFIED
NIKE INC,"GLOBAL CATEGORY APPAREL LEADER, NIKELAB","250,000","BEAVERTON, OR",01/20/2015,02/02/2015,CERTIFIED
NIKE INC,GLOBAL CATEGORY MERCHANT - MEN'S FOOTWEAR,"99,000","BEAVERTON, OR",06/15/2016,06/27/2016,CERTIFIED
NIKE INC,GLOBAL MERCHANDISING OPERATIONS DIRECTOR,"154,520","BEAVERTON, OR",09/29/2017,10/12/2017,CERTIFIED
NIKE INC,"GLOBAL PRODUCT MANAGER - FINANCE , TAX, & ACCOUNTING","115,000","BEAVERTON, OR",03/03/2017,04/17/2017,CERTIFIED
NIKE INC,GLOBAL SOCIAL MEDIA DIRECTOR,"225,000","BEAVERTON, OR",05/22/2012,10/01/2012,WITHDRAWN
NIKE INC,GLOBAL STRATEGIC PLANNING MANAGER,"110,000","BEAVERTON, OR",03/14/2016,09/03/2016,CERTIFIED
NIKE INC,GLOBAL SUPPLY CHAIN DESIGN MANAGER,"96,469","BEAVERTON, OR",03/22/2016,04/04/2016,CERTIFIED
NIKE INC,GLOBAL TRAINING LEAD-DTC,"85,000","BEAVERTON, OR",11/22/2016,01/09/2017,CERTIFIED
NIKE INC,GLOBAL TRAVEL MANAGER,"120,000","BEAVERTON, OR",03/03/2017,04/03/2017,CERTIFIED
NIKE INC,GLOBAL UX INSIGHTS DIRECTOR,"120,000","BEAVERTON, OR",07/16/2015,09/18/2015,CERTIFIED
NIKE INC,GOODS FLOW PLANNING LEAD,"110,000","BEAVERTON, OR",02/09/2016,03/01/2016,CERTIFIED
NIKE INC,HADOOP PRODUCT MANAGER (BUSINESS SYSTEMS ANALYST),"116,000","BEAVERTON, OR",05/01/2014,05/19/2014,CERTIFIED
NIKE INC,HR SOLUTIONS BUSINESS ANALYST,"75,505","BEAVERTON, OR",06/03/2015,06/22/2015,CERTIFIED
NIKE INC,HR SOLUTIONS BUSINESS ANALYST,"77,025","BEAVERTON, OR",08/04/2016,12/02/2016,CERTIFIED
NIKE INC,HR TERRITORY LEAD,"123,822","BEAVERTON, OR",06/06/2016,06/13/2016,CERTIFIED
NIKE INC,ILEARN DEVELOPMENT SPECIALIST,"80,000","BEAVERTON, OR",09/05/2014,10/01/2014,CERTIFIED
NIKE INC,INDUSTRIAL ENGINEER,"70,000","MEMPHIS, TN",12/15/2014,12/29/2014,WITHDRAWN
NIKE TN INC,INDUSTRIAL ENGINEERS,"70,000","MEMPHIS, TN",12/19/2014,01/12/2015,CERTIFIED
NIKE INC,INNOVATION ATHELETE EXPLORATION MANAGER,"160,000","BEAVERTON, OR",03/14/2014,03/24/2014,CERTIFIED
NIKE INC,"INNOVATION DIRECTOR, NIKE DIGITAL","190,000","BEAVERTON, OR",07/24/2017,07/27/2017,CERTIFIED
NIKE INC,INNOVATOR II,"136,000","BEAVERTON, OR",04/28/2015,05/11/2015,CERTIFIED
NIKE INC,INTEGRATION ENGINEER,"99,645","BEAVERTON, OR",05/27/2014,09/18/2014,CERTIFIED
NIKE INC,INTEGRATION ENGINEER,"110,000","BEAVERTON, OR",01/17/2017,02/20/2017,CERTIFIED
NIKE INC,"INTERMEDIATE SOFTWARE ENGINEER, DTC","108,000","BEAVERTON, OR",03/22/2017,03/30/2017,CERTIFIED
NIKE INC,INVENTORY PLANNING & PURCHASING DIRECTOR,"120,000","BEAVERTON, OR",09/16/2016,09/20/2016,CERTIFIED
NIKE INC,IT BUSINESS CONSULTANT,"123,000","HILLSBORO, OR",08/10/2016,10/03/2016,CERTIFIED
NIKE INC,IT SERVICE MANAGEMENT ADMINISTRATOR,"97,000","BEAVERTON, OR",05/01/2017,05/15/2017,CERTIFIED
NIKE INC,IT SERVICE MANAGEMENT ADMINISTRATOR - TECHNOLOGY,"108,000","BEAVERTON, OR",06/08/2017,10/23/2017,CERTIFIED
NIKE INC,IT TECHNOLOGY ENGINEER,"100,000","BEAVERTON, OR",01/22/2014,02/01/2014,CERTIFIED
NIKE INC,JAVA APPLICATION ENGINEERING TECH LEAD,"110,000","BEAVERTON, OR",10/26/2013,11/04/2013,CERTIFIED
NIKE INC,JAVA APPLICATION ENGINEERING TECH LEAD,"118,985","BEAVERTON, OR",05/27/2016,11/05/2016,CERTIFIED
NIKE INC,JAVA APPLICATIONS ENGINEER - CONSUMER DIGITAL TECHNOLOGY,"105,000","BEAVERTON, OR",02/17/2017,08/15/2017,CERTIFIED
NIKE INC,JAVA DEVELOPER: LEAD SOFTWARE ENGINEER,"127,000","BEAVERTON, OR",01/03/2017,01/23/2017,CERTIFIED
NIKE INC,KNIT PC PROGRAMMER II,"100,000","BEAVERTON, OR",06/24/2014,07/14/2014,CERTIFIED
NIKE INC,KNIT PRODUCT CREATION PROGRAMMER II,"110,000","BEAVERTON, OR",02/11/2015,03/02/2015,CERTIFIED
NIKE INC,LEAD APPLICATION ENGINEER,"105,706","BEAVERTON, OR",08/11/2015,10/01/2015,CERTIFIED
NIKE INC,LEAD APPLICATIONS ENGINEER - JAVA/.NET,"98,725","BEAVERTON, OR",02/06/2014,03/22/2014,CERTIFIED
NIKE INC,LEAD APPLICATIONS ENGINEER - JAVA/.NET,"107,780","BEAVERTON, OR",12/09/2016,12/16/2016,CERTIFIED
NIKE INC,LEAD AUTOMATION ENGINEER,"120,000","BEAVERTON, OR",06/07/2017,10/12/2017,CERTIFIED
NIKE INC,LEAD BSA,"114,000","BEAVERTON, OR",06/30/2017,07/07/2017,WITHDRAWN
NIKE INC,LEAD BSA,"117,430","BEAVERTON, OR",08/02/2017,08/15/2017,CERTIFIED
NIKE INC,LEAD BUSINESS SYSTEM ANALYST,"115,275","BEAVERTON, OR",01/15/2015,01/26/2015,CERTIFIED
NIKE INC,LEAD BUSINESS SYSTEMS ANALYST JAVA,"101,000","BEAVERTON, OR",05/02/2014,05/26/2014,CERTIFIED
NIKE INC,"LEAD BUSINESS SYSTEMS ANALYST, JAVA","109,515","BEAVERTON, OR",02/24/2017,03/08/2017,CERTIFIED
NIKE INC,LEAD DATA BSA,"115,000","BEAVERTON, OR",11/06/2017,11/20/2017,CERTIFIED
NIKE INC,LEAD DATA ENGINEER,"137,500","BEAVERTON, OR",09/29/2017,10/05/2017,CERTIFIED
NIKE INC,LEAD DATA WAREHOUSE ENGINEER,"106,953","BEAVERTON, OR",05/16/2014,06/16/2014,CERTIFIED
NIKE INC,LEAD ENGINEER,"101,130","BEAVERTON, OR",03/07/2017,08/17/2017,CERTIFIED
NIKE INC,LEAD ENGINEER - FOOTWEAR,"108,000","BEAVERTON, OR",03/12/2014,09/09/2014,CERTIFIED
NIKE INC,LEAD ENGINEER DATA & ANALYTICS,"130,000","BEAVERTON, OR",11/22/2017,12/04/2017,CERTIFIED
NIKE INC,LEAD ENTERPRISE DEVELOPER,"130,000","BEAVERTON, OR",04/13/2017,04/27/2017,CERTIFIED
NIKE INC,LEAD FOOTWEAR ENGINEER,"98,360","BEAVERTON, OR",02/21/2017,08/15/2017,CERTIFIED
NIKE INC,LEAD HADOOP ENGINEER,"125,000","BEAVERTON, OR",06/08/2016,06/13/2016,CERTIFIED
NIKE INC,LEAD INFORMATION ANALYST,"115,000","BEAVERTON, OR",04/23/2015,05/11/2015,CERTIFIED
NIKE INC,"LEAD IT TECH. ENGINEER - CONSUMER DIGITAL TECHNOLOGY, RETAIL","110,200","BEAVERTON, OR",01/29/2015,02/16/2015,CERTIFIED
NIKE INC,LEAD IT TECHNICAL ENGINEER,"119,775","BEAVERTON, OR",08/04/2017,08/18/2017,CERTIFIED
